Paper ID,Student Name,Age,Class,Phone Number,Subject,Correct Marks,Exam Date,Score (%),Grade,GPA
P101,Matthew Gonzalez,21,Class J,0138205260,Biology,25,2024-10-23,62.50,B-,2.7
P102,Brian Robinson,23,Class G,0147203086,Geography,25,2024-11-17,62.50,B-,2.7
P103,Lauren Bright,25,Class H,0125258739,Biology,4,2024-10-22,10.00,E,0.0
P104,Rachel West,25,Class J,0102412080,Geography,22,2024-07-22,55.00,C+,2.3
P105,Jennifer Ball,24,Class J,0103039027,Chemistry,33,2024-04-06,82.50,A-,3.7
P201,Joseph Hansen,20,Class J,0154901447,Biology,3,2024-09-27,7.50,E,0.0
P202,Jonathan Allen,24,Class B,0122243893,English,15,2024-02-27,37.50,E,0.0
P203,Christine Shaw,23,Class D,0111382243,Math,0,2024-08-07,0.00,E,0.0
P204,Andrea Jones,22,Class J,0131870934,Biology,37,2024-04-30,92.50,A-,3.7
P205,Joseph Banks,23,Class H,0126843311,Geography,0,2024-05-09,0.00,E,0.0
P301,Deanna Sandoval,23,Class H,0105609121,History,26,2024-08-11,65.00,B,3.0
P302,Dr. Amanda Ashley,22,Class E,0128726912,Geography,9,2024-02-14,22.50,E,0.0
P303,Cindy Lee,21,Class C,0133788972,Physics,1,2024-08-22,2.50,E,0.0
P304,Michael Briggs,21,Class H,0191201296,Physics,14,2024-05-09,35.00,E,0.0
P305,Mrs. Lydia Gentry,22,Class C,0158568806,Math,18,2024-08-15,45.00,D+,1.3
P401,Margaret Yu,22,Class J,0191433390,Chemistry,1,2024-11-02,2.50,E,0.0
P402,Emma Williams,23,Class A,0193084797,Physics,38,2024-07-11,95.00,A-,3.7
P403,Jose Wright,25,Class H,0126032169,English,39,2024-12-12,97.50,A-,3.7
P404,Arthur Elliott,21,Class J,0176952874,Chemistry,18,2024-01-20,45.00,D+,1.3
P405,Douglas Juarez,23,Class J,0184147939,History,8,2024-10-23,20.00,E,0.0
P501,Michael Rodriguez,21,Class F,0111915873,Science,2,2024-05-09,5.00,E,0.0
P502,Jesse Cobb,21,Class I,0167177517,Chemistry,38,2024-03-11,95.00,A-,3.7
P503,Bryan Cunningham,19,Class G,0156599748,Biology,31,2024-06-12,77.50,B+,3.3
P504,Brandon Sloan,23,Class J,0138482104,Math,8,2024-11-02,20.00,E,0.0
P505,Gina Flores,25,Class B,0175105400,Math,29,2024-04-19,72.50,B+,3.3
P601,Laura May,19,Class J,0166284683,Geography,26,2024-01-01,65.00,B,3.0
P602,Nathan Cook,18,Class H,0104627863,Chemistry,40,2024-01-19,100.00,A-,3.7
P603,Elizabeth Bates,24,Class J,0114404107,English,26,2024-03-14,65.00,B,3.0
P604,Andrea Jenkins,21,Class C,0101066371,Chemistry,23,2024-11-07,57.50,C+,2.3
P605,Patrick Owens,23,Class J,0135580596,English,16,2024-12-07,40.00,D,1.0
P701,Dennis Shaw,19,Class H,0159233182,Math,3,2024-07-26,7.50,E,0.0
P702,David Woods,18,Class A,0182514941,Physics,25,2024-05-02,62.50,B-,2.7
P703,Susan Page,24,Class B,0114801118,Physics,22,2024-10-19,55.00,C+,2.3
P704,Jerry Winters,18,Class A,0163432017,Math,40,2024-03-28,100.00,A-,3.7
P705,Lindsay Bishop,20,Class G,0127606256,Biology,21,2024-02-23,52.50,C,2.0
P801,Brittany Pearson,19,Class F,0118235072,Science,12,2024-05-12,30.00,E,0.0
P802,Thomas Brown,18,Class B,0193336590,History,9,2024-10-23,22.50,E,0.0
P803,Dustin Greene,21,Class A,0109399537,English,20,2024-09-05,50.00,C,2.0
P804,Christopher Carpenter,21,Class H,0131426299,History,0,2024-02-14,0.00,E,0.0
P805,Sophia Vasquez,21,Class D,0102325366,Geography,36,2024-02-01,90.00,A-,3.7
P901,Shane Ford,20,Class G,0171750002,Chemistry,13,2024-11-07,32.50,E,0.0
P902,Joshua Cooper,21,Class J,0195417552,Biology,13,2024-02-19,32.50,E,0.0
P903,John Stevens,24,Class D,0122951621,English,20,2024-04-19,50.00,C,2.0
P904,Renee Alvarez,21,Class G,0197651509,Geography,19,2024-06-21,47.50,C-,1.7
P905,Anthony Martin,18,Class G,0107820712,Physics,13,2024-07-21,32.50,E,0.0
P1001,Deborah Cox,18,Class D,0187273074,Biology,8,2024-08-04,20.00,E,0.0
P1002,Tom Mckee,25,Class J,0124323547,Chemistry,31,2024-06-06,77.50,B+,3.3
P1003,Jason Hammond,24,Class E,0147188984,Geography,40,2024-11-11,100.00,A-,3.7
P1004,Madison Wilcox,22,Class G,0157666683,Math,22,2024-10-31,55.00,C+,2.3
P1005,Eric Allen,19,Class A,0185512680,Biology,23,2024-06-10,57.50,C+,2.3
P1101,Michele Collins,18,Class E,0106020211,English,8,2024-09-27,20.00,E,0.0
P1102,Patricia Anthony,23,Class H,0195616163,Physics,31,2024-12-15,77.50,B+,3.3
P1103,Daniel House,18,Class E,0114481004,Geography,15,2024-10-29,37.50,E,0.0
P1104,Roy Daniels,18,Class B,0195059887,Chemistry,40,2024-09-07,100.00,A-,3.7
P1105,Nicole Wilkerson,25,Class F,0144978089,Chemistry,30,2024-06-15,75.00,B+,3.3
P1201,Abigail Durham,23,Class G,0175144866,Chemistry,34,2024-02-13,85.00,A-,3.7
P1202,Jorge Martinez,19,Class C,0127350209,Science,25,2024-10-25,62.50,B-,2.7
P1203,Brandon Harris,24,Class D,0106991190,History,31,2024-05-05,77.50,B+,3.3
P1204,Catherine Mills,25,Class A,0147005561,Biology,27,2024-09-02,67.50,B,3.0
P1205,Joseph Ortega,22,Class E,0129326423,History,29,2024-10-20,72.50,B+,3.3
P1301,Linda Jackson,21,Class D,0119613040,Biology,6,2024-02-09,15.00,E,0.0
P1302,Tony Bailey,21,Class I,0132814603,Physics,7,2024-04-04,17.50,E,0.0
P1303,Michael Patel,22,Class C,0124730574,Biology,3,2024-07-20,7.50,E,0.0
P1304,Stacy Proctor,21,Class I,0198134618,Math,12,2024-11-12,30.00,E,0.0
P1305,Joshua Robinson,19,Class H,0162225463,Science,12,2024-01-09,30.00,E,0.0
P1401,Isaiah Smith,21,Class I,0134021090,English,24,2024-02-06,60.00,B-,2.7
P1402,Sarah Wright,21,Class J,0112035167,Biology,36,2024-03-09,90.00,A-,3.7
P1403,Mark Schwartz,19,Class H,0112857538,Math,16,2024-12-05,40.00,D,1.0
P1404,Daniel Orozco,19,Class H,0128850550,History,31,2024-11-21,77.50,B+,3.3
P1405,Regina Brown,23,Class E,0131352092,Science,33,2024-03-23,82.50,A-,3.7
P1501,William Harris,20,Class D,0161270014,Biology,30,2024-03-19,75.00,B+,3.3
P1502,Dan Gibbs,19,Class I,0166774318,Physics,40,2024-07-16,100.00,A-,3.7
P1503,Jason Stein,21,Class B,0101705387,Geography,31,2024-02-12,77.50,B+,3.3
P1504,Cody Ortega,18,Class C,0103446593,Biology,29,2024-11-11,72.50,B+,3.3
